web-scraper-order,web-scraper-start-url,category_links,category_links-href,subcategory_links,subcategory_links-href,qdata
"1685438239-13","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Where is the FamCard Me accepted?","https://famapp.in/faqs/question/MDB/fampay-where-is-the-famcard-me-accepted","Where is the FamCard Me accepted?"
"1685438239-14","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Where is the FamCard Me accepted?","https://famapp.in/faqs/question/MDB/fampay-where-is-the-famcard-me-accepted","Literally everywhere! The FamCard can be used to make payments at all VISA accepted stores and merchants. From streaming services to your favourite stores - the sky is the limit. 🚀"
"1685438247-15","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","What will happen to my Rupay Card once the VISA FamCard is out?","https://famapp.in/faqs/question/Ygw/fampay-what-will-happen-to-my-rupay-card-once-the-visa-famcard-is-out","What will happen to my Rupay Card once the VISA FamCard is out?"
"1685438247-16","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","What will happen to my Rupay Card once the VISA FamCard is out?","https://famapp.in/faqs/question/Ygw/fampay-what-will-happen-to-my-rupay-card-once-the-visa-famcard-is-out","Once you switch to the VISA FamCard, you will still have access to your virtual/physical RuPay FamCard. The new VISA FamCard will become your default card. However, you may continue to use your existing RuPay card if you like, by switching to it in the card settings of your FamPay app. You can choose between the two cards as per your convenience.

Both cards will however be linked to the one FamPay account you have, and hence transaction limits will remain the same (whether you use VISA/RuPay FamCard)!"
"1685438255-17","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","How many doodles can I use to design my FamCard Me?","https://famapp.in/faqs/question/GXo/fampay-how-many-doodles-can-i-use-to-design-my-famcard-me","How many doodles can I use to design my FamCard Me?"
"1685438255-18","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","How many doodles can I use to design my FamCard Me?","https://famapp.in/faqs/question/GXo/fampay-how-many-doodles-can-i-use-to-design-my-famcard-me","The answer is: unlimited! You can use as many doodles and text elements as you like on your FamCard Me! Make sure you resize and position them for a look that suits you best."
"1685438263-19","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Why FamCard Me?","https://famapp.in/faqs/question/w71/fampay-why-famcard-me","Why FamCard Me?"
"1685438263-20","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Why FamCard Me?","https://famapp.in/faqs/question/w71/fampay-why-famcard-me","The FamCard Me is not just a card, it's a story. It's India's first ever card with doodles, made exclusively for teens. Aside from being super personalised, it is completely contactless with the Tap and Pay feature, and has a wide acceptance, thanks to the VISA network. It is also the most rewarding card for teens, with 4X rewards on every single spend and subscriptions, offers from your favourite brands!"
"1685438279-21","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What are we looking for in an ideal Brand Ambassador?","https://famapp.in/faqs/question/V0e/fampay-what-are-we-looking-for-in-an-ideal-brand-ambassador","What are we looking for in an ideal Brand Ambassador?"
"1685438279-22","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What are we looking for in an ideal Brand Ambassador?","https://famapp.in/faqs/question/V0e/fampay-what-are-we-looking-for-in-an-ideal-brand-ambassador","We want teens who are Creators, Trend-setters, Ideators and Change-makers. By being a brand ambassador, you will be able to start trends amongst your network - trend of cashless payments in teens, the trend of being financially responsible and so on. That’s why we are looking for a passion to be an influence more than an influencer."
"1685438287-23","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Who is eligible for becoming a Brand Ambassador?","https://famapp.in/faqs/question/bQg/fampay-who-is-eligible-for-becoming-a-brand-ambassador","Who is eligible for becoming a Brand Ambassador?"
"1685438287-24","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Who is eligible for becoming a Brand Ambassador?","https://famapp.in/faqs/question/bQg/fampay-who-is-eligible-for-becoming-a-brand-ambassador","Any school-going student (age 13-18) with access to a smartphone/laptop and a social media profile would be the minimum eligibility criteria."
"1685438295-25","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Do I have to pay anything to join the Brand Ambassador Program?","https://famapp.in/faqs/question/ALW/fampay-do-i-have-to-pay-anything-to-join-the-brand-ambassador-program","Do I have to pay anything to join the Brand Ambassador Program?"
"1685438295-26","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Do I have to pay anything to join the Brand Ambassador Program?","https://famapp.in/faqs/question/ALW/fampay-do-i-have-to-pay-anything-to-join-the-brand-ambassador-program","We, at FamPay, strive to build a financially aware and empowered community of teenagers and in that pursuit, the program is FREE for all the applicants with a shiny perks’ list."
"1685438303-27","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Will it hamper my school work?","https://famapp.in/faqs/question/42e/fampay-will-it-hamper-my-school-work","Will it hamper my school work?"
"1685438303-28","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","Will it hamper my school work?","https://famapp.in/faqs/question/42e/fampay-will-it-hamper-my-school-work","Not at all! In fact, it’s a great way to score some extra credits on your extra-curricular in your resume!"
"1685438311-29","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","How much time do I need to spend every day?","https://famapp.in/faqs/question/9BY/fampay-how-much-time-do-i-need-to-spend-every-day","How much time do I need to spend every day?"
"1685438311-30","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","How much time do I need to spend every day?","https://famapp.in/faqs/question/9BY/fampay-how-much-time-do-i-need-to-spend-every-day","At the most, you will have to spend 2-3 hours every day. So, pretty easy-peasy!"
"1685438319-31","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What will I have to do as an Ambassador?","https://famapp.in/faqs/question/B72/fampay-what-will-i-have-to-do-as-an-ambassador","What will I have to do as an Ambassador?"
"1685438319-32","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What will I have to do as an Ambassador?","https://famapp.in/faqs/question/B72/fampay-what-will-i-have-to-do-as-an-ambassador","As our Brand Ambassador, you will be promoting our brand in your networks (online and offline). You will help us grow our brand, help us reach more teenagers and also get to feature in our campaign photos/ videos."
"1685438327-33","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What is the program duration?","https://famapp.in/faqs/question/m2L/fampay-what-is-the-program-duration","What is the program duration?"
"1685438327-34","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What is the program duration?","https://famapp.in/faqs/question/m2L/fampay-what-is-the-program-duration","Depending on the applicant’s availability, the program duration will be 2 weeks."
"1685438335-35","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What perks will I get as a part of the program?","https://famapp.in/faqs/question/lK0/fampay-what-perks-will-i-get-as-a-part-of-the-program","What perks will I get as a part of the program?"
"1685438335-36","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What perks will I get as a part of the program?","https://famapp.in/faqs/question/lK0/fampay-what-perks-will-i-get-as-a-part-of-the-program","Other than a chance to win a paid internship for school students with FamPay, these are all the perks you get on joining and successfully completing the program:
- Free FamCard (worth Rs. 500)
- MasterClass taken by FamPay's social media expert
- Exclusive discounts and offers from brands you love
- Extra pocket money (Refer your friends and earn on downloads)
- Chance to represent a brand! (Feature in our brand and marketing campaigns)

Additional Perks 
- Certificate on completion
- Goodies and Merchandises
- Learning sessions
- Community access"
"1685438343-37","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","How can I join the Teenfluencer Program?","https://famapp.in/faqs/question/3DM/fampay-how-can-i-join-the-teenfluencer-program","How can I join the Teenfluencer Program?"
"1685438343-38","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","How can I join the Teenfluencer Program?","https://famapp.in/faqs/question/3DM/fampay-how-can-i-join-the-teenfluencer-program","To join for the program, follow the following steps:
Step 1: Down the FamPay app from get.fampay.in
Step 2: Sign up on the app
Step 3: Fill out the influencer application form"
"1685438351-39","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What is the Teenfluencer Program?","https://famapp.in/faqs/question/2kR/fampay-what-is-the-teenfluencer-program","What is the Teenfluencer Program?"
"1685438351-40","https://famapp.in/faqs","Teenfluencer Program","https://famapp.in/faqs/subcategory/teenfluencer?title=Teenfluencer%20Program","What is the Teenfluencer Program?","https://famapp.in/faqs/question/2kR/fampay-what-is-the-teenfluencer-program","FamPay’s Teenfluencer is one of its kind program where you can become a Brand Ambassador for India's first payments app for teenagers. With this program, we aim to create a community of trendsetting teenagers who have the ability to positively influence their peers to start a trend rather than just follow it! 

Becoming a Teenfluencer gets you access to an exclusive community of like-minded people who are excited to build their influencing skills and grow together."
"1685438367-41","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Blog","https://famapp.in/faqs/question/VZJ/fampay-blog","Blog"
"1685438367-42","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Blog","https://famapp.in/faqs/question/VZJ/fampay-blog","fampay.in/blog"
"1685438375-43","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Twitter","https://famapp.in/faqs/question/kg9/fampay-twitter","Twitter"
"1685438375-44","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Twitter","https://famapp.in/faqs/question/kg9/fampay-twitter","twitter.com/fampayindia"
"1685438383-45","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","LinkedIn","https://famapp.in/faqs/question/bg4/fampay-linkedin","LinkedIn"
"1685438383-46","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","LinkedIn","https://famapp.in/faqs/question/bg4/fampay-linkedin","linkedin.com/company/fampay"
"1685438391-47","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Facebook","https://famapp.in/faqs/question/AmY/fampay-facebook","Facebook"
"1685438391-48","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Facebook","https://famapp.in/faqs/question/AmY/fampay-facebook","facebook.com/fampay.in"
"1685438399-49","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Instagram","https://famapp.in/faqs/question/481/fampay-instagram","Instagram"
"1685438399-50","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Instagram","https://famapp.in/faqs/question/481/fampay-instagram","instagram.com/fampay.in"
"1685438407-51","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Email-Id","https://famapp.in/faqs/question/9zW/fampay-email-id","Email-Id"
"1685438407-52","https://famapp.in/faqs","Follow Us","https://famapp.in/faqs/subcategory/contactus?title=Follow%20Us","Email-Id","https://famapp.in/faqs/question/9zW/fampay-email-id","support@fampay.in"
"1685438423-53","https://famapp.in/faqs","FamCard Security","https://famapp.in/faqs/subcategory/privandassur?title=FamCard%20Security","What happens if I lose my card?","https://famapp.in/faqs/question/wq8/fampay-what-happens-if-i-lose-my-card","What happens if I lose my card?"
"1685438423-54","https://famapp.in/faqs","FamCard Security","https://famapp.in/faqs/subcategory/privandassur?title=FamCard%20Security","What happens if I lose my card?","https://famapp.in/faqs/question/wq8/fampay-what-happens-if-i-lose-my-card","First of all, we hope that it doesn't happen. But if it does, don't worry.
 
- As we issue numberless cards, your card details can't be traced or misused. 
- You can block your card instantly from the app. No transactions will be processed once your card is blocked as it gets deactivated permanently. 
- You will have to place a fresh order for your new FamCard."
"1685438431-55","https://famapp.in/faqs","FamCard Security","https://famapp.in/faqs/subcategory/privandassur?title=FamCard%20Security","What is pausing the card?","https://famapp.in/faqs/question/MKA/fampay-what-is-pausing-the-card","What is pausing the card?"
"1685438431-56","https://famapp.in/faqs","FamCard Security","https://famapp.in/faqs/subcategory/privandassur?title=FamCard%20Security","What is pausing the card?","https://famapp.in/faqs/question/MKA/fampay-what-is-pausing-the-card","Pausing the card is deactivating the card temporarily. The card will be inactive until you resume it back."
"1685438447-57","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","What is the price of the FamCard?","https://famapp.in/faqs/question/GzV/fampay-what-is-the-price-of-the-famcard","What is the price of the FamCard?"
"1685438447-58","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","What is the price of the FamCard?","https://famapp.in/faqs/question/GzV/fampay-what-is-the-price-of-the-famcard","The physical FamCard Me is originally priced at Rs.399*, whereas the FamCard is originally priced at Rs. 199*
The virtual FamCard is free for everyone.
* Prices may vary based on offers and discounts. Do check out the card screen to know the latest offers on the FamCard!"
"1685438455-59","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","How long does it take for the card to get delivered?","https://famapp.in/faqs/question/Lzq/fampay-how-long-does-it-take-for-the-card-to-get-delivered","How long does it take for the card to get delivered?"
"1685438455-60","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","How long does it take for the card to get delivered?","https://famapp.in/faqs/question/Lzq/fampay-how-long-does-it-take-for-the-card-to-get-delivered","Once you place the card order, it will be delivered to you within 7-10 business days."
"1685438463-61","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","Once my card order is placed, how can I track my order?","https://famapp.in/faqs/question/XjM/fampay-once-my-card-order-is-placed-how-can-i-track-my-order","Once my card order is placed, how can I track my order?"
"1685438463-62","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","Once my card order is placed, how can I track my order?","https://famapp.in/faqs/question/XjM/fampay-once-my-card-order-is-placed-how-can-i-track-my-order","You will be able to track your FamCard on the card screen. Just click on ""Track order"" and you can watch your FamCard until it reaches your doorstep."
"1685438471-63","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","I am a parent. Can I order the FamCard for my teen?","https://famapp.in/faqs/question/MrA/fampay-i-am-a-parent-can-i-order-the-famcard-for-my-teen","I am a parent. Can I order the FamCard for my teen?"
"1685438471-64","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","I am a parent. Can I order the FamCard for my teen?","https://famapp.in/faqs/question/MrA/fampay-i-am-a-parent-can-i-order-the-famcard-for-my-teen","Yes, you can order the FamCard for your kid but not through your app. We would need your teen to be onboard with us. Invite your teen on the app, help them in setting up the profile and completing their KYC and that's it. You can order the FamCard for your teen from their account."
"1685438479-65","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","How can I order the FamCard?","https://famapp.in/faqs/question/j2d/fampay-how-can-i-order-the-famcard","How can I order the FamCard?"
"1685438479-66","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","How can I order the FamCard?","https://famapp.in/faqs/question/j2d/fampay-how-can-i-order-the-famcard","You can order the card in 4 simple steps:

- Click on ""Order Card"" on the card screen
- Personalise your card with your details
- Fill in your delivery address
- Pay for the card and place your order"
"1685438487-67","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","Who can order the FamCard?","https://famapp.in/faqs/question/gWL/fampay-who-can-order-the-famcard","Who can order the FamCard?"
"1685438487-68","https://famapp.in/faqs","FamCard Order","https://famapp.in/faqs/subcategory/physicalfamcard?title=FamCard%20Order","Who can order the FamCard?","https://famapp.in/faqs/question/gWL/fampay-who-can-order-the-famcard","FamCard is available to teenagers who are 20 and below.

For teens below the age of 18:
- They must have completed their own KYC
- They must have their parent's permission (consent) to use FamPay"
"1685438503-69","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","How can I become a Friend of Fam?","https://famapp.in/faqs/question/lWv/fampay-how-can-i-become-a-friend-of-fam","How can I become a Friend of Fam?"
"1685438503-70","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","How can I become a Friend of Fam?","https://famapp.in/faqs/question/lWv/fampay-how-can-i-become-a-friend-of-fam","There are no specific eligibility criteria except that you need to be passionate. Our selection process consists of a couple of interviews and the most driven kids are hand-picked into the community."
"1685438511-71","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","What benefits are enjoyed by Friends of Fam?","https://famapp.in/faqs/question/3Jw/fampay-what-benefits-are-enjoyed-by-friends-of-fam","What benefits are enjoyed by Friends of Fam?"
"1685438511-72","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","What benefits are enjoyed by Friends of Fam?","https://famapp.in/faqs/question/3Jw/fampay-what-benefits-are-enjoyed-by-friends-of-fam","- Certificate and recommendations
- Exclusive FamPay swag kit
- Featured on FamPay Instagram
- Sponsored social outings"
"1685438519-73","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","What activities are organised for Friends of Fam?","https://famapp.in/faqs/question/23z/fampay-what-activities-are-organised-for-friends-of-fam","What activities are organised for Friends of Fam?"
"1685438519-74","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","What activities are organised for Friends of Fam?","https://famapp.in/faqs/question/23z/fampay-what-activities-are-organised-for-friends-of-fam","FamPay aims to achieve the role of catalyst in furthering the motives for which Friends of Fam stand for through various online and offline events, volunteering opportunities and mentoring."
"1685438527-75","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","Who are Friends of Fam?","https://famapp.in/faqs/question/Ozo/fampay-who-are-friends-of-fam","Who are Friends of Fam?"
"1685438527-76","https://famapp.in/faqs","Friends of Fam","https://famapp.in/faqs/subcategory/fof?title=Friends%20of%20Fam","Who are Friends of Fam?","https://famapp.in/faqs/question/Ozo/fampay-who-are-friends-of-fam","Friends of Fam is a community of driven teenagers who channelize their hunger for growth into tangible endeavors early on in life."
"1685438543-77","https://famapp.in/faqs","Family Features","https://famapp.in/faqs/subcategory/familyfeatures?title=Family%20Features","Who is the owner of the family?","https://famapp.in/faqs/question/NJQ/fampay-who-is-the-owner-of-the-family","Who is the owner of the family?"
"1685438543-78","https://famapp.in/faqs","Family Features","https://famapp.in/faqs/subcategory/familyfeatures?title=Family%20Features","Who is the owner of the family?","https://famapp.in/faqs/question/NJQ/fampay-who-is-the-owner-of-the-family","Only adults can be the owner of the family. So the adult that gets invited to the family and completes at least the minimum KYC verification first before all the other invited adults, becomes the owner."
"1685438551-79","https://famapp.in/faqs","Family Features","https://famapp.in/faqs/subcategory/familyfeatures?title=Family%20Features","What is my family profile?","https://famapp.in/faqs/question/q8N/fampay-what-is-my-family-profile","What is my family profile?"
"1685438551-80","https://famapp.in/faqs","Family Features","https://famapp.in/faqs/subcategory/familyfeatures?title=Family%20Features","What is my family profile?","https://famapp.in/faqs/question/q8N/fampay-what-is-my-family-profile","Your family profile includes a custom family name, display and list of all the members."
"1685438567-81","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","I am a minor. How should I add money to my FamPay account?","https://famapp.in/faqs/question/NxY/fampay-i-am-a-minor-how-should-i-add-money-to-my-fampay-account","I am a minor. How should I add money to my FamPay account?"
"1685438567-82","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","I am a minor. How should I add money to my FamPay account?","https://famapp.in/faqs/question/NxY/fampay-i-am-a-minor-how-should-i-add-money-to-my-fampay-account","As a minor, you cannot add money to your FamPay account. However, you can nudge/request a friend or request from your Parents/Guardian on FamPay to load your prepaid account. Growing up will come soon to you."
"1685438575-83","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","How do I get started on FamPay?","https://famapp.in/faqs/question/BK2/fampay-how-do-i-get-started-on-fampay","How do I get started on FamPay?"
"1685438575-84","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","How do I get started on FamPay?","https://famapp.in/faqs/question/BK2/fampay-how-do-i-get-started-on-fampay","Quite simple actually!

1. Download the app and setup your account with the necessary KYC verification. 
2. Order your FamCard
3. Request money from parents
4. Start saving / shopping on the app (you can use FamCard or Scan and pay)
5. You can also send money to friends and help a friend in need."
"1685438583-85","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","Why do I need FamPay?","https://famapp.in/faqs/question/2yR/fampay-why-do-i-need-fampay","Why do I need FamPay?"
"1685438583-86","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","Why do I need FamPay?","https://famapp.in/faqs/question/2yR/fampay-why-do-i-need-fampay","Do the following scenarios look relatable to you? 
- I have to carry enough cash with me all the time, in case I have to get something on the way back home
- My parents run out of cash to give to me when I need to go out. 
- I have to keep borrowing money from friends when I fall short of cash
- I have to often ask my parents for their OTP whenever I use the card
- I am dependent on my parents for online/offline payments. 

There can be many more such scenarios. If these look relatable, then FamPay can help you. 

With FamPay, you get your own FamCard. You can get your parents to load your FamPay prepaid account anytime online, and you can pay online/offline, anytime, anywhere."
"1685438591-87","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","Is it safe? How?","https://famapp.in/faqs/question/ld0/fampay-is-it-safe-how","Is it safe? How?"
